,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Santa Maria,-29.6842,-53.8069,61.9,87,0,4.63,BR,1632704854
360,Néa Alikarnassós,35.3333,25.1667,73.62,76,0,0.0,GR,1632704854
361,Fairbanks,64.8378,-147.7164,36.61,73,75,3.44,US,1632704795
362,Arco,45.9177,10.8867,67.87,100,39,3.02,IT,1632704854
363,Abrau-Dyurso,44.69,37.59,60.26,77,94,8.32,RU,1632704855
364,Rundu,-17.9333,19.7667,63.82,17,0,3.56,NA,1632704855
365,Yumen,40.2833,97.2,62.96,20,0,13.73,CN,1632704904
366,Akdepe,42.0551,59.3788,51.8,67,0,10.29,TM,1632704904
367,Goundam,16.4145,-3.6708,92.98,15,5,5.32,ML,1632704905
368,Myrtle Beach,33.6891,-78.8867,70.09,79,0,1.41,US,1632704895
369,Atasū,48.6814,71.6433,50.88,39,100,22.91,KZ,1632704905
370,Abu Dhabi,24.4667,54.3667,89.62,45,100,6.91,AE,1632704766
371,Adrar,20.5022,-10.0711,91.76,12,0,9.4,MR,1632704905
372,Green River,41.5286,-109.4662,73.18,22,0,1.99,US,1632704906
373,Wewak,-3.5534,143.6268,84.18,71,100,4.23,PG,1632704906
374,Pala,9.3642,14.9046,72.34,91,79,3.33,TD,1632704906
375,Guánica,17.9716,-66.908,84.2,93,58,5.3,PR,1632704907
376,Katsuura,35.1333,140.3,71.71,64,28,19.73,JP,1632704907
377,Bantou,26.2151,117.4893,84.33,59,0,0.85,CN,1632704907
378,Tuatapere,-46.1333,167.6833,51.82,44,5,2.19,NZ,1632704908
379,Buala,-8.145,159.5921,85.14,67,48,5.55,SB,1632704908
380,Neiafu,-18.65,-173.9833,77.68,65,75,6.91,TO,1632704908
381,Lebedinyy,58.5167,125.5167,43.52,87,100,7.52,RU,1632704909
382,Kuytun,54.3419,101.5036,35.74,61,48,4.32,RU,1632704909
383,Albert Lea,43.648,-93.3683,75.56,56,1,3.44,US,1632704909
384,Pahlgām,34.0333,75.3333,53.13,83,0,3.76,IN,1632704909
385,Balkhash,46.844,74.9804,49.06,46,100,23.98,KZ,1632704910
386,Sémbé,1.6481,14.5806,68.38,98,99,1.88,CG,1632704910
387,Qandala,11.472,49.8728,86.04,57,1,1.77,SO,1632704910
388,Mersing,2.4312,103.8405,80.28,83,99,2.26,MY,1632704911
389,Myitkyina,25.3833,97.4,77.2,81,23,2.33,MM,1632704911
390,Alice Springs,-23.7,133.8833,85.55,9,46,16.11,AU,1632704866
391,Stornoway,58.2093,-6.3865,51.76,82,100,11.5,GB,1632704911
392,Nioro,13.35,-15.75,76.42,93,99,9.1,GM,1632704911
393,Laguna,38.421,-121.4238,84.43,51,1,5.99,US,1632704912
394,Novyy Buyan,53.6861,50.0469,48.36,82,100,8.41,RU,1632704912
395,Belyy Yar,53.6039,91.3903,33.69,75,40,4.47,RU,1632704912
396,Eenhana,-17.4667,16.3333,64.58,16,0,4.63,NA,1632704913
397,Hamilton,39.1834,-84.5333,66.74,65,1,0.0,US,1632704613
398,Margate,51.3813,1.3862,64.11,98,67,12.08,GB,1632704913
399,Chokwé,-24.5333,32.9833,69.76,64,0,4.85,MZ,1632704913
400,Alyangula,-13.8483,136.4192,83.86,62,82,5.91,AU,1632704914
401,Distrikt Brokopondo,4.75,-55.1667,80.65,79,67,10.96,SR,1632704914
402,Kvarkeno,52.0833,59.725,44.73,47,95,15.93,RU,1632704914
403,Lastoursville,-0.8143,12.7287,73.53,93,100,3.09,GA,1632704914
404,Mezhdurechensk,53.6942,88.0603,32.0,97,100,3.78,RU,1632704915
405,Liverpool,53.4106,-2.9779,64.78,85,100,8.99,GB,1632704915
406,Ahipara,-35.1667,173.1667,57.04,62,100,11.05,NZ,1632704915
407,Cuiluan,47.72,128.648,62.15,91,100,9.42,CN,1632704964
408,Havre-St-Pierre,50.2334,-63.5986,57.56,94,90,13.8,CA,1632704964
409,Monrovia,6.3005,-10.7969,75.09,93,100,7.2,LR,1632704965
410,Arkadelphia,34.1209,-93.0538,76.17,53,1,4.56,US,1632704965
411,Seoul,37.5683,126.9778,71.04,54,100,4.76,KR,1632704498
412,Teluknaga,-6.0989,106.6381,85.62,79,20,3.44,ID,1632704965
413,Laurel,39.0993,-76.8483,66.69,72,1,0.0,US,1632704966
414,Oruzgan,32.8333,66.0,63.66,13,0,5.79,AF,1632704966
415,Kokopo,-4.352,152.2633,80.87,80,77,2.39,PG,1632704966
416,Villa Rica,33.7321,-84.9191,69.39,94,0,3.22,US,1632704966
417,Yeppoon,-23.1333,150.7333,78.58,58,22,15.66,AU,1632704967
418,Dentsville,34.064,-80.9582,69.91,78,1,0.0,US,1632704967
419,Fort Nelson,58.8053,-122.7002,43.99,88,100,3.42,CA,1632704967
420,Matara,5.9485,80.5353,76.73,89,100,18.19,LK,1632704968
421,Taltal,-25.4,-70.4833,62.26,72,0,5.79,CL,1632704968
422,Faanui,-16.4833,-151.75,79.97,69,3,12.28,PF,1632704968
423,Alenquer,-1.9417,-54.7383,79.14,63,35,2.53,BR,1632704968
424,Mason City,43.1536,-93.201,72.05,59,1,8.05,US,1632704969
425,Ajdabiya,30.7554,20.2263,70.54,66,0,8.84,LY,1632704969
426,Wamba,8.9333,8.6,70.74,93,60,1.05,NG,1632704969
427,Kahului,20.8947,-156.47,85.26,82,40,24.16,US,1632704881
428,Okhotsk,59.3833,143.3,48.92,49,51,4.59,RU,1632704970
429,Sault Ste. Marie,46.5168,-84.3333,59.56,77,75,5.75,CA,1632704970
430,Japura,-0.3167,102.35,77.56,90,75,1.63,ID,1632704970
431,Shihezi,44.3,86.0333,53.85,25,6,4.52,CN,1632704970
432,Lahat,-3.8,103.5333,76.12,93,78,0.27,ID,1632704971
433,Lockport,41.5895,-88.0578,77.85,51,1,12.66,US,1632704682
434,Quelimane,-17.8786,36.8883,70.09,94,0,3.18,MZ,1632704971
435,Caravelas,-17.7125,-39.2481,73.0,77,100,8.16,BR,1632704971
436,Agüimes,27.9054,-15.4461,70.43,84,20,18.41,ES,1632704972
437,Saint-Augustin,51.226,-58.6502,56.16,98,100,5.57,CA,1632704972
438,Pitimbu,-7.4706,-34.8086,75.79,85,31,17.85,BR,1632704972
439,Sjenica,43.2731,19.9994,56.55,53,97,3.04,RS,1632704973
440,General Cepeda,25.3833,-101.45,71.76,66,100,8.25,MX,1632704973
441,Ca Mau,9.1769,105.15,82.44,79,23,5.39,VN,1632704973
442,Emerald,-23.5333,148.1667,77.34,45,0,18.39,AU,1632704973
443,Sisimiut,66.9395,-53.6735,26.13,51,0,7.2,GL,1632704974
444,Puerto del Rosario,28.5004,-13.8627,73.15,88,7,16.11,ES,1632704974
445,Enid,36.3956,-97.8784,83.01,31,1,5.01,US,1632704974
446,Tucumã,-0.1833,-50.05,79.74,75,100,10.13,BR,1632704975
447,Teruel,40.6667,-0.6667,58.96,63,79,3.15,ES,1632704975
448,Aklavik,68.2191,-135.0107,32.18,88,98,3.44,CA,1632704975
449,Quang Ngai,15.1167,108.8,80.31,82,0,3.02,VN,1632704816
450,Daru,-9.0763,143.2092,81.54,79,65,13.69,PG,1632704975
451,Kościerzyna,54.1223,17.9812,55.11,68,89,9.22,PL,1632704976
452,Abbotsford,49.058,-122.2526,57.65,95,100,1.92,CA,1632704976
453,Sorong,-0.8833,131.25,83.01,73,32,3.0,ID,1632705024
454,Guadalupe y Calvo,26.1,-106.9667,55.47,93,7,3.87,MX,1632705024
455,Jati,24.3539,68.2671,81.93,78,46,9.04,PK,1632705025
456,Kungälv,57.871,11.9805,57.11,83,100,7.94,SE,1632705025
457,Bartica,6.4,-58.6167,77.32,94,28,1.9,GY,1632705025
458,Rio Grande,-32.035,-52.0986,60.94,93,0,8.19,BR,1632705012
459,Geraldton,-28.7667,114.6,66.61,55,40,13.8,AU,1632705026
460,Sobolevo,54.4299,31.8996,45.82,92,100,9.42,RU,1632705026
461,Boshnyakovo,49.6333,142.1667,58.87,68,100,6.62,RU,1632705026
462,Sal'sk,46.4725,41.5428,50.25,80,10,8.01,RU,1632705027
463,Balkanabat,39.5108,54.3671,61.72,60,0,1.5,TM,1632705027
464,Tecpan,14.7623,-90.9947,56.52,95,97,1.16,GT,1632705028
465,Daşoguz,41.8363,59.9666,51.91,87,0,9.22,TM,1632705028
466,Chunhuhub,19.55,-88.6833,78.53,81,46,4.74,MX,1632705028
467,Bolu Province,40.6667,31.5833,52.57,58,0,1.7,TR,1632705029
468,Souillac,-20.5167,57.5167,67.35,83,93,20.0,MU,1632705029
469,Rāwah,34.4816,41.9093,69.48,24,0,10.31,IQ,1632705029
470,Parkes,-33.1333,148.1833,66.34,45,34,5.01,AU,1632705029
471,Brčko,44.8728,18.8083,63.14,70,100,3.47,BA,1632705030
472,Ürümqi,43.801,87.6005,50.95,37,0,2.24,CN,1632705030
473,Santa Cruz de la Sierra,-17.8,-63.1667,81.86,65,100,5.75,BO,1632704824
474,Vestmannaeyjar,63.4427,-20.2734,43.52,75,100,11.54,IS,1632705030
475,Baykit,61.67,96.37,36.72,78,100,9.69,RU,1632705031
476,Atar,20.5169,-13.0499,93.81,15,6,4.29,MR,1632705031
477,Fagernes,60.9858,9.2324,50.92,98,100,4.32,NO,1632705031
478,Jalu,29.0331,21.5482,69.85,68,0,9.01,LY,1632705031
479,Nabire,-3.3667,135.4833,84.69,68,88,2.04,ID,1632705032
480,Katobu,-4.9408,122.5276,83.41,63,84,5.99,ID,1632705032
481,Saint Anthony,45.0205,-93.218,73.29,73,1,1.01,US,1632705032
482,Buraidah,26.326,43.975,72.82,33,93,6.38,SA,1632705033
483,Sinazongwe,-17.2614,27.4618,73.06,36,9,2.57,ZM,1632705033
484,Tomatlán,19.9333,-105.25,77.63,88,100,1.63,MX,1632705033
485,Cabo San Lucas,22.8909,-109.9124,89.62,74,5,1.01,MX,1632704991
486,Nantucket,41.2835,-70.0995,68.11,53,1,14.97,US,1632704923
487,Kargalinskaya,43.7417,46.4792,57.47,62,3,8.84,RU,1632705034
488,Tamandaré,-8.7597,-35.1047,75.78,85,35,13.35,BR,1632705034
489,Wołów,51.3366,16.6443,59.22,91,77,8.34,PL,1632705034
490,Virginia Beach,36.8529,-75.978,70.02,69,1,0.0,US,1632704979
491,Spring Valley,36.108,-115.245,92.59,26,20,1.01,US,1632705035
492,Sainte-Suzanne,-20.9061,55.6089,69.98,93,75,17.27,RE,1632705035
493,Kjøllefjord,70.9457,27.3465,49.17,87,100,15.1,NO,1632705035
494,Quryq,43.2,51.65,64.18,68,7,18.75,KZ,1632705035
495,Villamontes,-21.25,-63.5,80.85,35,0,2.35,BO,1632705036
496,Burgeo,47.6167,-57.6152,57.96,95,100,21.27,CA,1632705036
497,Unaí,-16.3575,-46.9061,80.87,36,49,2.73,BR,1632705036
498,Ōmagari,39.45,140.4833,70.68,61,1,7.74,JP,1632705037
499,San Jose,37.3394,-121.895,72.82,65,75,11.5,US,1632704876
500,Huarmey,-10.0681,-78.1522,63.32,86,33,5.86,PE,1632705084
501,Whitehorse,60.7161,-135.0538,37.81,91,100,4.0,CA,1632705085
502,Marawi,7.9986,124.2928,74.64,64,84,2.95,PH,1632705085
503,Djibo,14.1022,-1.6306,87.69,38,7,10.29,BF,1632705085
504,Herat Province,34.5,62.0,56.93,75,0,22.53,AF,1632705085
505,Hato Mayor,18.7629,-69.256,75.6,89,4,4.47,DO,1632705086
506,Manokwari,-0.8667,134.0833,83.46,69,45,4.14,ID,1632705086
507,Sioux Lookout,50.1001,-91.917,50.34,77,27,4.79,CA,1632705086
508,Sladkovo,55.5284,70.3385,30.33,85,27,12.59,RU,1632705087
509,Diapaga,12.0708,1.7889,77.4,70,6,6.08,BF,1632705087
510,Ondangwa,-17.9167,15.95,66.97,14,1,5.82,NA,1632705087
511,Rawson,-43.3002,-65.1023,50.99,37,6,0.54,AR,1632705088
512,Bacolod City,10.6667,122.95,82.98,80,99,8.21,PH,1632705088
513,Haines Junction,60.7522,-137.5108,36.81,86,100,4.09,CA,1632705088
514,Broome,42.2506,-75.833,58.57,71,11,1.99,US,1632705088
515,Waipawa,-41.4122,175.5153,47.44,89,100,9.75,NZ,1632705089
516,Corner Brook,48.9667,-57.9484,59.22,87,100,8.16,CA,1632705089
517,Lata,40.1629,-8.3327,64.04,97,100,1.25,PT,1632704991
518,La Ronge,55.1001,-105.2842,59.22,67,90,4.61,CA,1632704923
519,Encs,48.3333,21.1333,56.5,85,0,4.0,HU,1632705089
520,Colares,38.7992,-9.4469,65.39,77,100,1.01,PT,1632705090
521,Payson,40.0444,-111.7321,80.35,32,1,4.61,US,1632705090
522,Seydi,39.4816,62.9137,57.4,67,0,10.0,TM,1632705090
523,Port Keats,-14.25,129.55,87.3,55,7,7.07,AU,1632705090
524,Kitui,-1.367,38.0106,59.74,90,8,6.08,KE,1632705091
525,Manakara,-22.1333,48.0167,65.82,88,67,3.15,MG,1632705091
526,Quatre Cocos,-20.2078,57.7625,67.08,82,61,21.16,MU,1632705091
527,Necochea,-38.5473,-58.7368,47.03,66,92,8.37,AR,1632705092
528,Nouadhibou,20.931,-17.0347,72.84,81,11,22.95,MR,1632704974
529,Oyem,1.5995,11.5793,66.47,100,100,2.62,GA,1632705092
530,Terney,45.0503,136.6092,64.92,71,6,6.06,RU,1632705092
531,Longonjo,-12.9067,15.2533,60.8,71,5,1.66,AO,1632705093
532,Kendari,-3.945,122.4989,82.96,68,100,2.37,ID,1632705093
533,Mahabalipuram,12.6264,80.1722,82.45,72,100,15.01,IN,1632705093
534,Kamyshnya,50.1859,33.684,43.83,92,0,8.37,UA,1632705093
535,San Quintín,30.4833,-115.95,68.49,75,33,12.41,MX,1632705094
536,Chigasaki,35.3261,139.4039,74.03,59,16,15.66,JP,1632705094
537,Riyadh,24.6877,46.7219,77.14,30,93,8.12,SA,1632704879
538,Pervomayskiy,53.2485,40.2871,47.12,94,100,14.2,RU,1632705094
539,Portalegre,39.2938,-7.4312,58.5,78,100,2.89,PT,1632705095
540,Grajaú,-5.8194,-46.1386,81.88,50,26,3.51,BR,1632705095
541,Noumea,-22.2763,166.4572,76.98,64,11,12.24,NC,1632705095
542,Polyarny,69.1989,33.4478,45.07,80,100,16.82,RU,1632705095
543,Omboué,-1.5746,9.2618,76.71,84,100,5.77,GA,1632705096
544,Honolulu,21.3069,-157.8583,85.24,71,75,1.99,US,1632704462
545,Khani,41.9563,42.9566,40.57,83,10,5.14,GE,1632705096
546,Saraland,30.8207,-88.0706,74.23,76,100,3.53,US,1632705144
547,Iskateley,67.6803,53.1512,39.31,79,100,11.18,RU,1632705144
548,Skibbereen,51.55,-9.2667,51.6,75,100,8.86,IE,1632705145
549,Farah,32.5,62.5,66.45,27,0,3.67,AF,1632705145
